feature,importance
soil_ph,0.506106495986866
slope_deg,0.17005136942858945
NDVI,0.11740583592046912
NDMI,0.1157822740940341
BSI,0.055890731054111145
NDBI,0.026022422247782354
SAVI,0.0034196663208828524
EVI,0.0016555306165689813
NDWI,0.0011308146792681068
soil_org_carbon,0.0006935321064283766
annual_rain_mm,0.00032075915534068237
mean_temp_c,0.0002663718279382643
elevation_m,0.0001775621938036246
BLUE,0.0001418017106734258
SWIR2,0.0001386732235462603
NIR,0.00013273069231310678
RED,0.00013210368868103332
SWIR1,0.00011698921637443614
RE1,0.00011052246391684566
GREEN,0.00010524136414227866
RE3,0.00010414003176167047
RE2,9.443197650782681e-05
